 ,Label,Area,IntDen,RawIntDen,groupID,cultureID,normed,Label_group
1,1-1_ch01.tif,0.063,0.6970000000000001,54010658,chamber1,1,1.1682247962556822,chamber-only
2,1-2_ch01.tif,0.053,0.523,40578237,chamber1,2,0.8776879306254662,chamber-only
3,1-3_ch01.tif,0.051,0.47200000000000003,36581401,chamber1,3,0.7912382724530482,chamber-only
4,2-1_ch01.tif,0.063,0.6990000000000001,54154006,chamber2,1,1.171325345189814,chamber-only
5,2-2_ch01.tif,0.073,0.5589999999999999,43354534,chamber2,2,0.937737911819368,chamber-only
6,2-3_ch01.tif,0.063,0.502,38885805,chamber2,3,0.8410814329157624,chamber-only
7,3-1_ch01.tif,0.053,0.435,33727479,chamber3,1,0.7295092994977547,chamber-only
8,3-2_ch01.tif,0.063,0.48700000000000004,37730098,chamber3,2,0.8160840412045512,chamber-only
9,3-3_ch01.tif,0.063,0.424,32880780,chamber3,3,0.7111956035830541,chamber-only
10,4-1_ch01.tif,0.063,0.541,41915548,chamber4,1,0.9066133303216796,chamber-only
11,4-2_ch01.tif,0.073,0.596,46241097,chamber4,2,1.0001728940511008,chamber-only
12,4-3_ch01.tif,0.063,0.623,48272575,chamber4,3,1.0441127951840938,chamber-only
1,1-1_ch01.tif,0.063,0.259,20106680,chamber1,1,0.4348979074903735,with-stimulation
2,1-2_ch01.tif,0.063,0.24600000000000002,19057466,chamber1,2,0.41220390862484196,with-stimulation
3,1-3_ch01.tif,0.075,0.35700000000000004,27639078,chamber1,3,0.597820087014028,with-stimulation
4,2-1_ch01.tif,0.063,0.419,32518268,chamber2,1,0.7033546417614033,with-stimulation
5,2-2_ch01.tif,0.063,0.36,27889763,chamber2,2,0.6032422841116704,with-stimulation
6,2-3_ch01.tif,0.063,0.392,30390448,chamber2,3,0.6573309090757403,with-stimulation
7,3-1_ch01.tif,0.063,0.33799999999999997,26163918,chamber3,1,0.5659130791333884,with-stimulation
8,3-2_ch01-1.tif,0.073,0.387,29983409,chamber3,2,0.6485268494613746,with-stimulation
3,2-1_ch01.tif,0.053,1.2670000000000001,98245877,well2,1,2.1250115049752925,positive-control
4,2-2_ch01.tif,0.063,2.025,156962074,well2,2,3.395014867593713,positive-control
5,2-3_ch01.tif,0.073,1.619,125499419,well2,3,2.7144926320186933,positive-control
6,3-1_ch01.tif,0.07400000000000001,1.141,88421938,well3,1,1.9125243855496552,positive-control
7,3-2_ch01.tif,0.06,1.7369999999999999,134612215,well3,2,2.9115980672166795,positive-control
8,3-3_ch01.tif,0.062,1.216,94244277,well3,3,2.0384588037529383,positive-control
1,1-3_ch01.tif,0.063,0.799,61941820,well1,3,1.3397720510867714,naive-control
2,1-2_ch01.tif,0.063,0.9520000000000001,73778854,well1,2,1.5958014561149714,naive-control
3,1-1_ch01.tif,0.063,0.762,59088022,well1,1,1.2780457601923914,naive-control
4,2-4_ch01.tif,0.05,0.371,28742930,well2,4,0.6216958797843444,naive-control
5,2-3_ch01.tif,0.05,0.387,29968346,well2,3,0.6482010439489515,naive-control
6,2-2_ch01.tif,0.062,0.44799999999999995,34714486,well2,2,0.7508577905951587,naive-control
7,2-1_ch01.tif,0.062,0.457,35397267,well2,1,0.7656260182774108,naive-control
