,experiment,prep_date,neuron,firing_rate,timing,group,culture_ID
0,100x-pulse-2Hz,31-01-2023,1,0.008333333333333333,dur,stim,1-1-1
1,100x-pulse-2Hz,31-01-2023,2,0.016666666666666666,dur,stim,1-1-1
2,100x-pulse-2Hz,31-01-2023,3,0.016666666666666666,dur,stim,1-1-1
3,100x-pulse-2Hz,31-01-2023,8,0.0,dur,stim,1-1-1
4,100x-pulse-2Hz,31-01-2023,11,0.03333333333333333,dur,stim,1-1-1
5,100x-pulse-2Hz,31-01-2023,12,0.03333333333333333,dur,stim,1-1-1
6,100x-pulse-2Hz,31-01-2023,14,0.041666666666666664,dur,stim,1-1-1
7,100x-pulse-2Hz,31-01-2023,15,0.05,dur,stim,1-1-1
8,100x-pulse-2Hz,31-01-2023,16,0.041666666666666664,dur,stim,1-1-1
9,100x-pulse-2Hz,31-01-2023,17,0.05,dur,stim,1-1-1
10,100x-pulse-2Hz,31-01-2023,18,0.03333333333333333,dur,stim,1-1-1
11,100x-pulse-2Hz,31-01-2023,1,0.016666666666666666,pre,stim,1-1-1
12,100x-pulse-2Hz,31-01-2023,2,0.016666666666666666,pre,stim,1-1-1
13,100x-pulse-2Hz,31-01-2023,6,0.008333333333333333,pre,stim,1-1-1
14,100x-pulse-2Hz,31-01-2023,7,0.0,pre,stim,1-1-1
15,100x-pulse-2Hz,31-01-2023,10,0.0,pre,stim,1-1-1
16,100x-pulse-2Hz,31-01-2023,11,0.008333333333333333,pre,stim,1-1-1
17,100x-pulse-2Hz,31-01-2023,12,0.008333333333333333,pre,stim,1-1-1
18,100x-pulse-2Hz,31-01-2023,13,0.016666666666666666,pre,stim,1-1-1
19,100x-pulse-2Hz,31-01-2023,16,0.05,pre,stim,1-1-1
20,100x-pulse-2Hz,31-01-2023,17,0.05,pre,stim,1-1-1
21,100x-pulse-2Hz,31-01-2023,18,0.05,pre,stim,1-1-1
22,100x-pulse-2Hz,31-01-2023,19,0.05,pre,stim,1-1-1
23,100x-pulse-2Hz,31-01-2023,21,0.05,pre,stim,1-1-1
24,100x-pulse-2Hz,31-01-2023,22,0.041666666666666664,pre,stim,1-1-1
25,100x-pulse-2Hz,31-01-2023,1,0.008333333333333333,dur,stim,1-1-2
26,100x-pulse-2Hz,31-01-2023,9,0.016666666666666666,dur,stim,1-1-2
27,100x-pulse-2Hz,31-01-2023,11,0.03333333333333333,dur,stim,1-1-2
28,100x-pulse-2Hz,31-01-2023,13,0.016666666666666666,dur,stim,1-1-2
29,100x-pulse-2Hz,31-01-2023,14,0.008333333333333333,dur,stim,1-1-2
30,100x-pulse-2Hz,31-01-2023,17,0.041666666666666664,dur,stim,1-1-2
31,100x-pulse-2Hz,31-01-2023,18,0.03333333333333333,dur,stim,1-1-2
32,100x-pulse-2Hz,31-01-2023,20,0.041666666666666664,dur,stim,1-1-2
33,100x-pulse-2Hz,31-01-2023,21,0.016666666666666666,dur,stim,1-1-2
34,100x-pulse-2Hz,31-01-2023,22,0.041666666666666664,dur,stim,1-1-2
