,experiment,prep_date,neuron,firing_rate,timing,group,culture_ID
0,with-metal-disc,26-01-2023,1,0.025,1st,stim,9-1-1
1,with-metal-disc,26-01-2023,2,0.025,1st,stim,9-1-1
2,with-metal-disc,26-01-2023,3,0.008333333333333333,1st,stim,9-1-1
3,with-metal-disc,26-01-2023,4,0.03333333333333333,1st,stim,9-1-1
4,with-metal-disc,26-01-2023,5,0.041666666666666664,1st,stim,9-1-1
5,with-metal-disc,26-01-2023,6,0.025,1st,stim,9-1-1
6,with-metal-disc,26-01-2023,7,0.025,1st,stim,9-1-1
7,with-metal-disc,26-01-2023,8,0.016666666666666666,1st,stim,9-1-1
8,with-metal-disc,26-01-2023,9,0.008333333333333333,1st,stim,9-1-1
9,with-metal-disc,26-01-2023,10,0.03333333333333333,1st,stim,9-1-1
10,with-metal-disc,26-01-2023,11,0.016666666666666666,1st,stim,9-1-1
11,with-metal-disc,26-01-2023,12,0.0,1st,stim,9-1-1
12,with-metal-disc,26-01-2023,13,0.016666666666666666,1st,stim,9-1-1
13,with-metal-disc,26-01-2023,17,0.06666666666666667,1st,stim,9-1-1
14,with-metal-disc,26-01-2023,18,0.008333333333333333,1st,stim,9-1-1
15,with-metal-disc,26-01-2023,19,0.025,1st,stim,9-1-1
16,with-metal-disc,26-01-2023,20,0.025,1st,stim,9-1-1
17,with-metal-disc,26-01-2023,22,0.0,1st,stim,9-1-1
18,with-metal-disc,26-01-2023,23,0.016666666666666666,1st,stim,9-1-1
19,with-metal-disc,26-01-2023,24,0.025,1st,stim,9-1-1
20,with-metal-disc,26-01-2023,25,0.03333333333333333,1st,stim,9-1-1
21,with-metal-disc,26-01-2023,27,0.016666666666666666,1st,stim,9-1-1
22,with-metal-disc,26-01-2023,28,0.05,1st,stim,9-1-1
23,with-metal-disc,26-01-2023,29,0.008333333333333333,1st,stim,9-1-1
24,with-metal-disc,26-01-2023,30,0.025,1st,stim,9-1-1
25,with-metal-disc,26-01-2023,31,0.025,1st,stim,9-1-1
26,with-metal-disc,26-01-2023,32,0.016666666666666666,1st,stim,9-1-1
27,with-metal-disc,26-01-2023,33,0.008333333333333333,1st,stim,9-1-1
