,experiment,prep_date,neuron,firing_rate,timing,group,culture_ID
0,wo-metal-disc,16-08-2022,1,0.008333333333333333,1st,sham,1-1-1
1,wo-metal-disc,16-08-2022,2,0.016666666666666666,1st,sham,1-1-1
2,wo-metal-disc,16-08-2022,3,0.041666666666666664,1st,sham,1-1-1
3,wo-metal-disc,16-08-2022,4,0.008333333333333333,1st,sham,1-1-1
4,wo-metal-disc,16-08-2022,5,0.008333333333333333,1st,sham,1-1-1
5,wo-metal-disc,16-08-2022,6,0.03333333333333333,1st,sham,1-1-1
6,wo-metal-disc,16-08-2022,7,0.016666666666666666,1st,sham,1-1-1
7,wo-metal-disc,16-08-2022,8,0.008333333333333333,1st,sham,1-1-1
8,wo-metal-disc,16-08-2022,9,0.008333333333333333,1st,sham,1-1-1
9,wo-metal-disc,16-08-2022,11,0.016666666666666666,1st,sham,1-1-1
10,wo-metal-disc,16-08-2022,12,0.025,1st,sham,1-1-1
11,wo-metal-disc,16-08-2022,13,0.008333333333333333,1st,sham,1-1-1
12,wo-metal-disc,16-08-2022,14,0.03333333333333333,1st,sham,1-1-1
13,wo-metal-disc,16-08-2022,15,0.041666666666666664,1st,sham,1-1-1
14,wo-metal-disc,16-08-2022,17,0.008333333333333333,1st,sham,1-1-1
15,wo-metal-disc,16-08-2022,19,0.025,1st,sham,1-1-1
16,wo-metal-disc,16-08-2022,20,0.025,1st,sham,1-1-1
17,wo-metal-disc,16-08-2022,22,0.016666666666666666,1st,sham,1-1-1
18,wo-metal-disc,16-08-2022,24,0.008333333333333333,1st,sham,1-1-1
19,wo-metal-disc,16-08-2022,25,0.016666666666666666,1st,sham,1-1-1
20,wo-metal-disc,16-08-2022,26,0.03333333333333333,1st,sham,1-1-1
21,wo-metal-disc,16-08-2022,27,0.008333333333333333,1st,sham,1-1-1
22,wo-metal-disc,16-08-2022,28,0.03333333333333333,1st,sham,1-1-1
23,wo-metal-disc,16-08-2022,29,0.03333333333333333,1st,sham,1-1-1
24,wo-metal-disc,16-08-2022,31,0.016666666666666666,1st,sham,1-1-1
25,wo-metal-disc,16-08-2022,33,0.03333333333333333,1st,sham,1-1-1
26,wo-metal-disc,16-08-2022,34,0.025,1st,sham,1-1-1
27,wo-metal-disc,16-08-2022,39,0.016666666666666666,1st,sham,1-1-1
28,wo-metal-disc,16-08-2022,42,0.0,1st,sham,1-1-1
29,wo-metal-disc,16-08-2022,43,0.03333333333333333,1st,sham,1-1-1
30,wo-metal-disc,16-08-2022,44,0.041666666666666664,1st,sham,1-1-1
31,wo-metal-disc,16-08-2022,45,0.008333333333333333,1st,sham,1-1-1
32,wo-metal-disc,16-08-2022,47,0.025,1st,sham,1-1-1
33,wo-metal-disc,16-08-2022,48,0.03333333333333333,1st,sham,1-1-1
34,wo-metal-disc,16-08-2022,49,0.008333333333333333,1st,sham,1-1-1
35,wo-metal-disc,16-08-2022,50,0.041666666666666664,1st,sham,1-1-1
36,wo-metal-disc,16-08-2022,51,0.016666666666666666,1st,sham,1-1-1
37,wo-metal-disc,16-08-2022,52,0.041666666666666664,1st,sham,1-1-1
38,wo-metal-disc,16-08-2022,53,0.016666666666666666,1st,sham,1-1-1
39,wo-metal-disc,16-08-2022,55,0.008333333333333333,1st,sham,1-1-1
40,wo-metal-disc,16-08-2022,56,0.03333333333333333,1st,sham,1-1-1
41,wo-metal-disc,16-08-2022,57,0.025,1st,sham,1-1-1
42,wo-metal-disc,16-08-2022,58,0.016666666666666666,1st,sham,1-1-1
43,wo-metal-disc,16-08-2022,59,0.03333333333333333,1st,sham,1-1-1
44,wo-metal-disc,16-08-2022,60,0.008333333333333333,1st,sham,1-1-1
45,wo-metal-disc,16-08-2022,62,0.008333333333333333,1st,sham,1-1-1
46,wo-metal-disc,16-08-2022,63,0.016666666666666666,1st,sham,1-1-1
47,wo-metal-disc,16-08-2022,66,0.025,1st,sham,1-1-1
48,wo-metal-disc,16-08-2022,67,0.025,1st,sham,1-1-1
49,wo-metal-disc,16-08-2022,68,0.05,1st,sham,1-1-1
50,wo-metal-disc,16-08-2022,69,0.008333333333333333,1st,sham,1-1-1
51,wo-metal-disc,16-08-2022,70,0.016666666666666666,1st,sham,1-1-1
